# lat, lon
-29.9941285,-51.016305
-29.9941197,-51.01631
-29.9941075,-51.0163172
-29.994096,-51.0163231
-29.9940858,-51.0163306
-29.9940738,-51.016338
-29.9940523,-51.0163497
-29.9940366,-51.0163611
-29.9940288,-51.0163423
-29.9940437,-51.0163316
-29.9940629,-51.0163202
-29.9940738,-51.0163132
-29.9940871,-51.0163048
-29.9940999,-51.0162974
-29.9941083,-51.0162924
-29.9941147,-51.0162877
-29.9941269,-51.0162833
-29.9941176,-51.0162656
-29.9941017,-51.0162736
-29.9940871,-51.016282
-29.9940732,-51.016289
-29.994061,-51.0162981
-29.9940462,-51.0163085
-29.9940302,-51.0163155
-29.9940199,-51.0163232
-29.9940112,-51.016305
-29.994028,-51.0162929
-29.9940401,-51.0162858
-29.9940527,-51.0162776
-29.9940627,-51.0162719
-29.9940758,-51.0162642
-29.9940877,-51.0162589
-29.9941031,-51.0162481
-29.9940956,-51.016229
-29.994077,-51.0162401
-29.9940626,-51.0162488
-29.9940508,-51.0162557
-29.9940385,-51.0162636
-29.9940263,-51.0162711
-29.9940157,-51.0162775
-29.9939991,-51.0162877
-29.9939875,-51.0162672
-29.9939997,-51.0162609
-29.9940116,-51.0162535
-29.9940253,-51.0162458
-29.9940366,-51.0162387
-29.99405,-51.0162297
-29.9940654,-51.016222
-29.9940741,-51.0162173
-29.9940845,-51.0162109
-29.994077,-51.0161945
-29.9940627,-51.0161998
-29.9940494,-51.0162079
-29.9940343,-51.0162163
-29.9940234,-51.0162235
-29.9940106,-51.0162307
-29.9939978,-51.0162377
-29.993988,-51.0162446
-29.9939777,-51.0162495
-29.9939655,-51.0162317
-29.9939753,-51.016226
-29.9939881,-51.0162176
-29.9939994,-51.0162123
-29.9940122,-51.0162035
-29.9940262,-51.0161952
-29.9940404,-51.0161851
-29.9940537,-51.0161764
-29.9940661,-51.0161714
-29.9940534,-51.0161522
-29.9940389,-51.0161606
-29.9940256,-51.0161697
-29.9940122,-51.0161787
-29.9939989,-51.0161885
-29.9939855,-51.0161945
-29.9939719,-51.0162027
-29.9939626,-51.0162089
-29.9939549,-51.0162134
-29.9939475,-51.0162004
-29.9939559,-51.0161906
-29.9939671,-51.0161829
-29.9939756,-51.0161771
-29.9939878,-51.016169
-29.9939986,-51.0161636
-29.9940125,-51.0161556
-29.9940247,-51.0161465
-29.994042,-51.0161355
-29.9940308,-51.0161167
-29.9940096,-51.0161301
-29.9939942,-51.0161405
-29.9939794,-51.0161482
-29.993966,-51.0161576
-29.9939534,-51.0161667
-29.9939386,-51.0161755
-29.9939251,-51.0161583
-29.9939396,-51.0161462
-29.9939547,-51.0161361
-29.9939687,-51.0161237
-29.993984,-51.0161164
-29.9939965,-51.0161093
-29.9940163,-51.0160969
